Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,Relevance,Relation,Possible use
Isac N.; Javed A.; Radulescu M.; Cismasu I.D.L.; Yousaf Z.; Serbu R.S.,"Isac, Nicoleta (57383676100); Javed, Asad (57203687599); Radulescu, Magdalena (55540437700); Cismasu, Irina Daniela L. (57192373435); Yousaf, Zahid (57194948169); Serbu, Razvan Sorin (56200873900)",57383676100; 57203687599; 55540437700; 57192373435; 57194948169; 56200873900,Is greenwashing impacting on green brand trust and purchase intentions? Mediating role of environmental knowledge,2024,"Environment, Development and Sustainability",,,,,,,9,10.1007/s10668-023-04352-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181457007&doi=10.1007%2fs10668-023-04352-0&partnerID=40&md5=0b5d1e62e894218797ee63e64115ef46,"Organizations want to enhance sales via improved purchases. Therefore, they want higher purchase intentions. With the current green marketing wave, stakeholders need green facilitations from the organizations. In the current era of heightened awareness toward environmental issues, stakeholders are demanding green initiatives from organizations. Consequently, organizations are striving to earn the trust of environmentally conscious consumers. However, certain entities engage in the deceptive practice of greenwashing, attempting to falsely present themselves as environmentally friendly. This research seeks to inspect the influence of the greenwashing on customer purchase intentions. Additionally, it explores mediation role of the green brand trust and the regulating influence of customers' environmental knowledge in this relationship. Data for the study were collected across all four provinces of Pakistan, employing standardized scales for measurement. The results indicate that greenwashing has an adverse effect on purchase intentions. Furthermore, the deceptive practice of greenwashing diminishes green brand trust, leading to a decline in customers' purchase intentions. The research also emphasizes that the association between greenwashing and purchase intentions is intensified by higher levels of environmental knowledge among consumers. This study contributes a distinctive perspective to existing literature, offering insights into ways organizations can enhance customers' purchase intentions and consequently drive higher sales. © 2024, The Author(s), under exclusive licence to Springer Nature B.V.",Environmental knowledge; Green brand trust; Greenwashing; Purchase intentions,,Article,Article in press,,Scopus,2-s2.0-85181457007,Yes,Asymmetries,"
This paper is relevant because it directly addresses the issue of **information asymmetries** in the context of sustainable consumption. While your paper focuses on the role of information seeking and availability, this reference paper highlights how **greenwashing** creates an information asymmetry where consumers lack accurate information about a company's environmental practices.

Here's how you can utilize this paper:

* **Support your argument:** You can cite this paper to strengthen your argument about the importance of addressing information barriers in promoting responsible consumption. The paper demonstrates the negative consequences of information asymmetry, specifically how greenwashing can erode consumer trust and hinder sustainable purchasing decisions.
* **Expand on the concept of information barriers:** This paper provides a real-world example of an information barrier – greenwashing – that your research can build upon. You can discuss how greenwashing tactics can mislead consumers and prevent them from making informed choices aligned with their ethical values.
* **Highlight the need for solutions:** The reference paper emphasizes the need for organizations to earn consumer trust through genuine sustainability efforts. This aligns with your call for improved information systems and decision-support tools to address information barriers and foster responsible consumption. You can use this paper to support your argument for developing solutions that combat greenwashing and empower consumers with accurate information. 


By incorporating this reference, you can enrich your discussion of information barriers and strengthen the case for promoting transparency and accessibility in information related to responsible consumption."
George A.; Nair A.S.,"George, Ajimon (55947911000); Nair, Amal S. (57657709800)",55947911000; 57657709800,Reflections on Green Purchase Behaviour in the Era of COVID-19: A Conceptual Framework,2022,Vision,,,,,,,8,10.1177/09722629221087363,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129188935&doi=10.1177%2f09722629221087363&partnerID=40&md5=7fb1502341644f042d7f8d04371ed126,"In recent years, research on green purchase behaviour has made tremendous progress. But still, several significant elements in diverse contexts require additional investigation, and it is also crucial to address the effect of the global pandemic COVID-19 on green purchase behaviour. This study is the outcome of a thorough literature review and aims to fill the gap of an integrated model that spells out the current state of green purchase behaviour. Apart from the previous models, this framework strives to lay out a complete illustration of factors influencing green purchase behaviour by assimilating relevant constructs from various theories such as Theory of Planned Behaviour (TPB), Theory of Consumption Values (TCV), Innovation Resistance Theory (IRT), Theory of Green Purchase Behaviour (TGPB) and Health Belief Model (HBM). The article adds to the current research by proposing a conceptual framework that binds the value, threat, risk, habitual and psychological aspects of green purchase behaviour. Moreover, this suggested model can effectively offer several implications to policymakers and marketers for improving sustainable consumption. © 2022 Management Development Institute.",COVID-19; Green Products; Green Purchase Behaviour; Green Purchase Intention; Green Trust; Greenwashing; Perceived Threat of Disease,,Article,Article in press,All Open Access; Bronze Open Access,Scopus,2-s2.0-85129188935,Possibly,Sustainability,"
While the reference paper focuses on green purchase behavior and proposes a conceptual framework, it doesn't directly address information-seeking processes or information barriers, which are central to your research. 

However, it could still be **indirectly useful** in the following ways:

* **Contextual Background:** The paper provides a broad overview of factors influencing green purchase behavior, which can help contextualize your findings on the role of information seeking. You could cite it to highlight the complexity of the issue and position your research on information processes as a crucial, yet understudied, aspect.
* **Identifying Potential Constructs:** The framework incorporates constructs from various theories (TPB, TCV, IRT, TGPB, HBM). While your focus is different, exploring these theories might reveal connections or overlaps with information-seeking behavior. For example, perceived risk (from HBM) could be linked to information search intensity.
* **Future Research Directions:** The paper acknowledges the need for further research on green purchase behavior in the context of COVID-19. This could inspire you to consider how the pandemic might have influenced information-seeking patterns related to responsible consumption.



**Important Note:**  

The reference paper's primary contribution lies in its conceptual framework, not empirical findings. Therefore, its direct utility for your research is limited. However, it can offer valuable context and potentially spark new ideas for your work."
Duque Oliva E.J.; Sánchez-Torres J.A.; Arroyo-Cañada F.-J.; Argila-Irurita A.; Fuente J.G.-L.; Palacio-López S.-M.; Arrubla-Zapata J.-P.,"Duque Oliva, Edison Jair (36699424000); Sánchez-Torres, Javier A. (57193553562); Arroyo-Cañada, Francisco-Javier (55337071600); Argila-Irurita, Ana (57219609774); Fuente, Jaime Gil-La (59169610000); Palacio-López, Sandra-Milena (57215305624); Arrubla-Zapata, Juan-Pablo (57200375711)",36699424000; 57193553562; 55337071600; 57219609774; 59169610000; 57215305624; 57200375711,Green Buying Behaviour: An Integrated Model,2024,Sustainability (Switzerland) ,16,11,4441,,,,0,10.3390/su16114441,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195788970&doi=10.3390%2fsu16114441&partnerID=40&md5=91b1128b9dac20b15b6273e10d38c03d,"The pursuit of a sustainable world has today compelled both companies and individuals to scrutinize the environmental impact of goods and services. As a result, the field of green marketing, encompassing topics like sustainability, ecologism, and social impact, has gained significance. This study aims to explore the attributes influencing consumers’ decisions to purchase green products. The research builds upon an extensive literature review conducted using databases such as Scopus and Web of Science. The resulting model integrates the variables linked to green buying behaviour. Empirical analysis utilizing partial least squares (PLS) methodology validates multiple hypotheses, including those concerning personality traits, altruistic attitude, environmental commitment, and the influence of social factors. This study also highlights the intricate relationship between environmental awareness, positive attitudes towards green products, and perceptions of greenwashing. In conclusion, this research contributes to a comprehensive understanding of the factors guiding consumers towards sustainable purchasing choices, shedding light on the intricate interplay of attitudes, influences, and perceptions in the realm of green consumption. © 2024 by the authors.",consumer attitudes; environmental awareness; green buying behaviour; greenwashing impact; marketing; sustainability perceptions,environmental impact; green economy; literature review; marketing; perception; public attitude; sustainability,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85195788970,Possibly,"Sustainability, Asymmetries","
While the reference paper focuses on understanding the factors influencing green buying behavior, it touches upon elements relevant to your research:

* **Sustainability:** The paper clearly addresses sustainable consumption and the factors driving it, providing context and background information on the broader field.

* **Asymmetries:** The paper mentions ""greenwashing"" and the influence of social factors, hinting at potential information asymmetries between companies and consumers. This aligns with your interest in information barriers and how they shape consumer perceptions.

**How to Utilize:**

1. **Contextual Background:** You can cite this paper to establish the broader context of sustainable consumption and the factors influencing it.

2. **Supporting Argument:** You could use the paper's discussion on greenwashing and social influence to support your argument about information barriers and the need for transparent information systems.

3. **Contrast and Comparison:** You could contrast your study's focus on information-seeking processes with the reference paper's broader examination of influencing factors. This highlights the unique contribution of your research.

**Important Note:**

The reference paper doesn't directly address information-seeking behaviors or the impact of information availability on responsible consumption, which are the core themes of your study. Therefore, its relevance is secondary and should be used judiciously to complement your primary arguments."
Rasool S.; Saleem A.; Ikram Ul Haq M.; Jacobsen R.H.,"Rasool, Saqib (57210095193); Saleem, Afshan (57197708829); Ikram Ul Haq, Muhammad (59044718200); Jacobsen, Rune Hylsberg (7101646653)",57210095193; 57197708829; 59044718200; 7101646653,Towards Zero Trust Security for Prosumer-Driven Verifiable Green Energy Certificates,2024,"2024 7th International Conference on Energy Conservation and Efficiency, ICECE 2024 - Proceedings",,,,,,,0,10.1109/ICECE61222.2024.10505279,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192233279&doi=10.1109%2fICECE61222.2024.10505279&partnerID=40&md5=5e6ff7b41966bbe3a8ebaf87b4db674e,"In response to the critical need for environmentally sustainable practices, green energy certificates have emerged as a key mechanism to prevent greenwashing and ensure the authenticity of renewable energy sources. While incorporating blockchain technology has significantly enhanced the trans-parency and verifiability of these certificates, it has also intro-duced a trade-off in terms of increased operational costs due to the added control mechanisms of the blockchain. This challenge led to recent advancements in the state-of-the-art blockchain-based framework for verifiable green energy certificates, integrating trustworthy registries to balance trust and operational efficiency to enhance feasibility for real-world deployments. Our paper extended the same framework to elevate the trust factor without incurring additional operational costs of blockchain. At the heart of our proposed solution is integrating Self-Sovereign Identity (SSI), a technology that bolsters the system's reliability and empowers users/devices with control over their digital identities. By harmonizing the strengths of the Distributed Ledger Technologies (DLT) of IOTA with the public blockchain of Concordium, our framework maintains the integrity and transparency of the green energy certification process. It propels the system towards zero-trust security by distributing trust from a few centralized registries to many decentralized prosumer meters.  © 2024 IEEE.",Blockchain-enabled Transactive Energy; Concordium; Energy Certificates; Green Energy; IOTA Tangle; Self-sovereign Identity; Zero-Trust Security,Distributed ledger; Economic and social effects; Energy policy; Renewable energy; Block-chain; Blockchain-enabled transactive energy; Concordium; Energy; Energy certificate; Green energy; IOTA tangle; Self-sovereign identity; Zero-trust security; Blockchain,Conference paper,Final,,Scopus,2-s2.0-85192233279,Possibly,"Sustainability, Other","
While the reference paper focuses on technical solutions for verifying green energy certificates using blockchain and SSI, it touches upon the broader context of sustainable practices and consumer trust. Here's how it could be potentially utilized in your research:

* **Contextual Background:** The paper highlights the issue of ""greenwashing,"" which directly relates to your interest in information asymmetries (c). You could cite it to illustrate the challenges consumers face in verifying the authenticity of sustainability claims, thus emphasizing the need for accessible and transparent information as you argue in your paper.
* **Technological Solutions:** Although not your primary focus, the paper presents innovative technological approaches to enhance transparency and trust in sustainable practices. You could briefly mention these solutions as examples of how technology can address information barriers and support responsible consumption.
* **Limitations:** The paper's focus on technical solutions might also highlight a limitation in your own work. You could acknowledge that while your study emphasizes the importance of information availability, it doesn't delve into specific technological solutions for improving access to information. This could open avenues for future research. 


**Important Note:** The reference paper's primary contribution lies in the technical domain. Its relevance to your study is more tangential, serving as supporting evidence for the broader context of sustainable practices and consumer trust."
Firsanova O.V.; Baikov V.G.; Alekseeva A.M.; Naumenko N.V.,"Firsanova, Olga V. (57197820365); Baikov, Veniamin G. (57467284300); Alekseeva, Alla M. (57466563900); Naumenko, Nadezhda V. (57467138100)",57197820365; 57467284300; 57466563900; 57467138100,Sustainable Marketing: The Importance of Consumer Competence to Modelling the Rational Consumption,2022,Lecture Notes in Networks and Systems,380 LNNS,,,117.0,124.0,7.0,0,10.1007/978-3-030-94245-8_16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125288447&doi=10.1007%2f978-3-030-94245-8_16&partnerID=40&md5=2f15c482193b51ce9421b83a3a93b743,"Research background: a contemporary consumer is becoming demanding of the goods production and promotion methods. Sustainable marketing is used by many companies that “rely” on the principles of sustainable development in their activities, strive to implement rational production and model rational consumption among their consumers. Other companies mimic the former with greenwashing. As a result, consumers lose confidence in companies, their declared values of sustainability and the principles of sustainable development in general. Therefore, responsible companies need to not only promote new products to market through sustainable marketing but also educate consumers to recognise unfair greenwashing practices by other manufacturers. By increasing the competence of consumers, companies will be able not only to reduce the negative effect of unfair product promotion practices but also help build confidence among consumers by modelling rational consumption. Purpose of the research: to conceptually substantiate modelling the rational consumption based on taking into account the levels of consumer competencies and their impact on the conscious choice of the “green product” by contributing to the creation of a culture of sustainable consumption about society. Methods: theoretical analysis, scientific synthesis, scientific adaptation, discourse analysis, scientific generalisation. Results and novelty: a conceptual justification of a sustainable consumption model has been developed by demonstrating the need and sufficiency of the relationships with consumers with various competencies for their education based on the information content about the sustainability of companies and their products, which helps to strengthen the values of sustainable development and reduce the negative effects of greenwashing. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Green economy; Green marketing; Greenwashing; Sustainable development,,Conference paper,Final,,Scopus,2-s2.0-85125288447,Yes,"Asymmetries, Availability, Sustainability","
This paper, while not directly focused on information-seeking processes, offers valuable insights that can complement your research in several ways:

* **Information Asymmetries and Greenwashing:** The reference paper highlights the issue of greenwashing and how it creates information asymmetries between companies and consumers. This directly aligns with your interest in information barriers and their impact on responsible consumption. You can cite this paper to support your argument that lack of transparency and accessible information can lead consumers to make decisions based on misleading marketing practices.

* **Consumer Competence and Information Availability:** The paper emphasizes the importance of consumer competence in navigating sustainable consumption choices. This connects to your focus on information availability. You can draw upon their concept of ""consumer competence"" to discuss how accessible and transparent information can empower consumers to make more informed and responsible decisions.

* **Modeling Rational Consumption:** The paper's discussion on ""modeling rational consumption"" through education and information provision resonates with your goal of fostering responsible consumption through improved information systems. You can use their framework as a starting point to explore how different types of information interventions can influence consumer behavior.



**Important Note:** While relevant, the reference paper takes a more conceptual approach. Your research, with its focus on information-seeking processes, offers a more empirical and behavioral perspective.  You can use this paper to provide a broader context and theoretical grounding for your findings."
Okbagaber T.B.,"Okbagaber, Tadesse Beyene (57845168900)",57845168900,"Determining the effects of government's perceived ecological roles on Chinese consumers' proenvironmental attitude, and green consumerism: The moderating effect of greenwashing perceptions",2023,Journal of Public Affairs,23,1,e2840,,,,2,10.1002/pa.2840,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135923975&doi=10.1002%2fpa.2840&partnerID=40&md5=55f06d433e6ac2405142afcf09f8b1b5,"While the normative ecological roles of a government's effect on consumers' proecological attitude and green consumerism have received less attention, greenwashing interaction effect remains unexplored. Building on the two normative theories – stakeholder theory and social contract theory, the study tests a theoretical model integrating mediating and moderating relationships using survey data from 202 consumers across China. Results show a government's normative ecological roles positively and significantly on consumers' proenvironmental attitudes and green consumerism. It also confirms the mediating roles of the proenvironment between the ecological roles of a government and green consumerism. Further, tests of greenwashing moderation effect generated mixed outcomes. Insignificant greenwashing interaction effect between proenvironment and green consumerism, but, it proved significant interaction between ecological roles of a government and green behavior. The study proposes research avenues on how researchers can step up the theme and policy implications to practitioners. © 2022 John Wiley & Sons Ltd.",environmental roles; green consumerism; greenwashing perceptions; proenvironmental attitude,,Article,Final,,Scopus,2-s2.0-85135923975,Possibly,"Asymmetries, Sustainability","
While the reference paper doesn't directly focus on information-seeking processes like your study, it touches upon relevant themes:

* **Asymmetries:** The paper discusses ""greenwashing"" which is a prime example of information asymmetry. Companies might present themselves as more environmentally friendly than they actually are, misleading consumers. This aligns with your interest in information barriers and how they can hinder responsible consumption. You could cite this paper to illustrate the real-world consequences of information asymmetry in the context of sustainability.

* **Sustainability:** The paper investigates the impact of government's perceived ecological roles on consumers' pro-environmental attitudes and green consumerism. This indirectly relates to your focus on responsible consumption. You could use this paper to support the broader context of increasing consumer demand for sustainable products and practices, driven in part by government initiatives and consumer awareness.

**Important Considerations:**

* **Limited Direct Relevance:** The reference paper's primary focus is on the influence of government perception and greenwashing on consumer behavior, not on the information-seeking processes themselves. 
* **Potential for Contextualization:**  You can still utilize this paper by drawing connections between its findings on greenwashing and information asymmetry, and your own research on how information barriers impact responsible consumption.



Let me know if you have any other papers you'd like me to evaluate!"
Palos-Sanchez P.; Martin-Velicia F.; Saura J.R.,"Palos-Sanchez, Pedro (57193833640); Martin-Velicia, Felix (24328701100); Saura, Jose Ramon (57200338646)",57193833640; 24328701100; 57200338646,Complexity in the acceptance of sustainable search engines on the internet: An analysis of unobserved heterogeneity with FiMix-PLS,2018,Complexity,2018,,6561417,,,,28,10.1155/2018/6561417,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056221514&doi=10.1155%2f2018%2f6561417&partnerID=40&md5=81ef12e520f6376543bbb2d064ece60f,"This paper analyses the complexity of user behaviour when facing the challenge of using sustainable applications, such as Internet search engines. This paper analyses an acceptance model using extended TAM (Technology Acceptance Model) with Trust as an added external variable. It was suggested that Trust indirectly influences the final Intention to Use with the perceptions of Utility and Ease of Use. To test the proposed model, a survey was carried out with users from different geographical areas of Spain (n = 445). The second aim of this study was to understand the complexity of marketing segmentation by separating the application users into different user groups. Users were grouped by their preference of favorite Internet search engine. Unobserved heterogeneity was studied using FIMIX-PLS, and three different user behaviours with search engines were identified. These corresponded to the number of inhabitants who live in the user area. In this way, the impact that the environment has on user choice, acceptance, and use of this type of sustainable applications was shown. The results were checked using PLS-SEM and showed that the model for the adoption of sustainable search engines is explanatory and predictive because confidence and acceptance for this TAM were validated. The conclusions are interesting for developers of environmentally sustainable and responsible applications which want to coincide with current trends to ensure that users prefer them. © 2018 Pedro Palos-Sanchez et al.",,Behavioral research; Information retrieval; Acceptance models; Geographical area; Intention to use; Internet search engine; Paper analysis; Technology acceptance model; Unobserved heterogeneity; User behaviour; Search engines,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85056221514,Possibly,"Sustainability, Possibly Availability","
While the reference paper focuses on sustainable search engines, it touches upon concepts relevant to your research in a tangential way. Here's how:

* **Sustainability:** The paper clearly aligns with the theme of sustainable consumption, which is central to your work.  
* **Possible Availability:** The study investigates user acceptance of sustainable search engines, implying a consideration of information availability (or lack thereof) as a factor influencing adoption. This could be linked to your exploration of information barriers in responsible consumption.

**How to Utilize:**

1. **Contextualize the Findings:** You could briefly mention the reference paper's findings on user acceptance of sustainable search engines to highlight the broader context of consumer behavior towards sustainable options.

2. **Draw Parallels:**  Explore potential parallels between the factors influencing acceptance of sustainable search engines (e.g., trust, perceived utility) and the information-seeking processes you examine in your study.

3. **Limitations:**  Acknowledge that the reference paper's focus is narrower than yours (specifically on search engines), and its primary contribution lies in understanding user acceptance rather than information-seeking behaviors directly.

**Important Note:**

The reference paper's primary focus is not on information-seeking processes or information availability in the same way your paper is. Therefore, it should be used cautiously and primarily as supporting evidence or context rather than a core source for your arguments."
de Melo T.; da Silva A.S.; de Moura E.S.; Calado P.,"de Melo, Tiago (57204855720); da Silva, Altigran S. (7402942666); de Moura, Edleno S. (7004323890); Calado, Pável (6602927174)",57204855720; 7402942666; 7004323890; 6602927174,Contender: Leveraging user opinions for purchase decision-making,2019,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),11438 LNCS,,,230.0,235.0,5.0,0,10.1007/978-3-030-15719-7_30,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064866447&doi=10.1007%2f978-3-030-15719-7_30&partnerID=40&md5=c917db09a679dc6fcd9b86ac8bcce3ad,"User opinions posted on e-commerce websites are a valuable source to support purchase making-decision. Unfortunately, it is not generally feasible for an ordinary buyer to examine a large set of reviews on a given product for useful information on certain attributes. We present a system named Contender that can summarize product reviews aligned to the attributes of these products. Contender is implemented as an Android app for smartphones. © Springer Nature Switzerland AG 2019.",Experimentation; Opinion mining; User reviews,Information retrieval; Sales; Sentiment analysis; E-commerce websites; Experimentation; Making decision; Opinion mining; Product reviews; Purchase decision; User reviews; Decision making,Conference paper,Final,,Scopus,2-s2.0-85064866447,Possibly,Information availability,"
While the reference paper doesn't directly focus on sustainable or responsible consumption, it touches upon a relevant aspect: **information availability**.  

The ""Contender"" system aims to make product information more accessible and digestible for consumers by summarizing user reviews. This aligns with your paper's interest in how information barriers can influence responsible consumption decisions.

You could potentially utilize this reference in the following ways:

* **Supporting Argument:** Cite ""Contender"" as an example of a tool that attempts to address information barriers, thereby supporting your argument about the importance of accessible information for responsible consumption.
* **Contrast and Comparison:** Discuss how ""Contender"" focuses on general product attributes, while your research specifically examines ethical aspects. This contrast could highlight the need for specialized information systems tailored to responsible consumption.
* **Future Research:**  Suggest that future research could explore the development of systems like ""Contender"" but specifically designed to surface and highlight ethical information related to products and services. 


Remember, the relevance is indirect, but the paper offers a valuable perspective on information accessibility, which is a key theme in your research."
Meiseberg B.,"Meiseberg, Brinja (35146374100)",35146374100,Effects of e-retailer provided information and social influence on purchase decisions,2015,"2015 International Conference on Information Systems: Exploring the Information Frontier, ICIS 2015",,,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126569618&partnerID=40&md5=66329a1b6abe83bde6e63f427e84686e,"We investigate drivers of consumer purchase decisions when shopping experience goods online, using the context of expertise literature in business topics. Based on 60,000 books from Amazon.de, we test hypotheses on the effects of (1) ""brand"" characteristics (author's background, reputation, experience, demographics), (2) product characteristics (publisher, price, page count, reading excerpts, cover), and (3) social influence in terms of observational learning (OL), word-of-mouth (WOM), and expert opinions, on sales. The results demonstrate that online demand depends on a mix of these factors; yet, sales are largely determined by brand characteristics. In fact, the market's perception of the author alters consumers' price sensitivity and renders observable product characteristics insignificant; social influence amplifies this effect. These issues are underexplored since studies often focus on WOM effects without considering brand and product characteristics, and the relative effects of social influence, on purchase decisions. The paper shows how to target online demand more effectively.",Business strategy; Consumer decision-making; Online search behavior,Consumer behavior; Decision making; Information systems; Information use; Purchasing; Sales; User experience; Business strategy; Consumer decision making; Consumer purchase; Observational learning; Price sensitivity; Product characteristics; Purchase decision; Search behavior; Economic and social effects,Conference paper,Final,,Scopus,2-s2.0-85126569618,Possibly,Other,"
While the reference paper doesn't directly address sustainable or responsible consumption, it offers valuable insights into factors influencing purchase decisions online.  Here's how it could be potentially useful:

* **Understanding Information Influence:** The study highlights how brand characteristics (author reputation, experience) significantly impact consumer choices, even overshadowing observable product features. This aligns with your focus on information seeking and its influence on responsible consumption. You could draw parallels between the perceived ""brand"" of a product (e.g., a company's ethical reputation) and how it might influence consumer decisions, even if information about specific ethical aspects is not readily available.

* **Social Influence and Responsible Consumption:** The paper emphasizes the role of social influence (word-of-mouth, expert opinions) in amplifying brand effects. This could be relevant to your research if you explore how social norms or peer recommendations related to responsible consumption impact consumer behavior.

* **Framing Information Access:** Although the study doesn't directly address information barriers, its findings on the dominance of brand perception could be used to argue for the importance of transparent and accessible information about a product's ethical aspects. If consumers rely heavily on brand reputation, ensuring that ethical information is part of that reputation becomes crucial.



**Important Note:** The reference paper's focus on expertise in business topics might not directly translate to the context of sustainable or responsible consumption. However, the underlying principles of information seeking, brand influence, and social dynamics could offer valuable perspectives for your research."
Lau A.Y.S.; Coiera E.W.,"Lau, Annie Y.S. (13606119400); Coiera, Enrico W. (7003453209)",13606119400; 7003453209,Impact of web searching and social feedback on consumer decision making: A prospective online experiment,2008,Journal of Medical Internet Research,10,1,e2,,,,41,10.2196/jmir.963,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049156408&doi=10.2196%2fjmir.963&partnerID=40&md5=70d5cc16fc8826a1f9ae7dba788411b0,"Background: The World Wide Web has increasingly become an important source of information in health care consumer decision making. However, little is known about whether searching online resources actually improves consumers' understanding of health issues. Objectives: The aim was to study whether searching on the World Wide Web improves consumers' accuracy in answering health questions and whether consumers' understanding of health issues is subject to further change under social feedback. Methods: This was a pre/post prospective online study. A convenience sample of 227 undergraduate students was recruited from the population of the University of New South Wales. Subjects used a search engine that retrieved online documents from PubMed, MedlinePlus, and HealthInsite and answered a set of six questions (before and after use of the search engine) designed for health care consumers. They were then presented with feedback consisting of a summary of the post-search answers provided by previous subjects for the same questions and were asked to answer the questions again. Results: There was an improvement in the percentage of correct answers after searching (pre-search 61.2% vs post-search 82.0%, P <.001) and after feedback with other subjects' answers (pre-feedback 82.0% vs post-feedback 85.3%, P =.051). The proportion of subjects with highly confident correct answers (ie, confident or very confident) and the proportion with highly confident incorrect answers significantly increased after searching (correct pre-search 61.6% vs correct post-search 95.5%, P <.001; incorrect pre-search 55.3% vs incorrect post-search 82.0%, P <.001). Subjects who were not as confident in their post-search answers were 28.5% more likely than those who were confident or very confident to change their answer after feedback with other subjects' post-search answers (χ21= 66.65, P <.001). Conclusions: Searching across quality health information sources on the Web can improve consumers' accuracy in answering health questions. However, a consumer's confidence in an answer is not a good indicator of the answer being correct. Consumers who are not confident in their answers after searching are more likely to be influenced to change their views when provided with feedback from other consumers.",Accuracy; Confidence; Decision making; Health care consumer; Information searching; Internet; Social feedback,"Adult; Chi-Square Distribution; Consumer Satisfaction; Databases as Topic; Decision Making; Feedback, Psychological; Female; Health Education; Health Knowledge, Attitudes, Practice; Humans; Information Storage and Retrieval; Internet; Male; MedlinePlus; New South Wales; Problem Solving; Prospective Studies; Public Opinion; PubMed; Students; accuracy; adult; article; consumer health information; controlled study; decision making; female; health care; human; Internet; male; medical research; adaptive behavior; attitude to health; Australia; chi square distribution; consumer; data base; decision making; health education; information retrieval; Internet; MEDLINE; problem solving; prospective study; public opinion; statistics; student; utilization review",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-39049156408,Possibly,Information seeking,"
While the reference paper focuses on health information seeking rather than sustainable or responsible consumption, it offers valuable insights into the relationship between information seeking and decision-making accuracy. You could utilize this paper in the following ways:

* **Supporting your argument on the importance of information seeking:** The study demonstrates that searching for information online can lead to improved understanding and accuracy in answering questions. This supports your argument that information-seeking processes play a crucial role in shaping consumer decisions, even in the context of responsible consumption.
* **Highlighting the potential impact of information quality:** The paper shows that while searching can improve accuracy, confidence in answers is not always a reliable indicator of correctness. This raises important questions about the quality and reliability of information sources related to responsible consumption. You could use this to emphasize the need for trustworthy and transparent information systems in your research.
* **Drawing parallels to consumer behavior:** Although the context is different, the study's findings on the influence of social feedback on consumer answers could be relevant to your research. You could explore whether similar social influences (e.g., online reviews, peer recommendations) impact consumer decisions related to responsible consumption.


**Important Note:**

While this paper offers some potentially useful insights, it's crucial to acknowledge the differences in context between health information seeking and responsible consumption. You should clearly differentiate between the two domains in your research and avoid overgeneralizing the findings from the reference paper."
Vines P.,"Vines, Prue (56333739600)",56333739600,Apologising for personal injury in law: Failing to take account of lessons from psychology in blameworthiness and propensity to sue,2015,"Psychiatry, Psychology and Law",22,4,,624.0,634.0,10.0,6,10.1080/13218719.2014.965295,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940788635&doi=10.1080%2f13218719.2014.965295&partnerID=40&md5=9cbcb3afc87889316a20ccc2fbe12314,"We know that the vast majority of people do not sue after personal injury. There is a significant literature on propensity to sue which relates it partly to the person’s view of blame or attribution of responsibility. In many jurisdictions now there is legislation to protect apologies from becoming an admission of legal fault because of the perception that apologies are important to people’s functioning. The psychological literature suggests that the psychological role of an apology is closely connected to the attribution of responsibility and that this plays out in a complex way to make apologies effective or ineffective within the psychological or legal context. This article explores how the legal regimes which seek to encourage apologies, (particularly in regimes of compensation for personal injury), have often failed to take account of the lessons that psychology has to offer in making apologies effective both psychologically and in reducing litigation. © 2014 The Australian and New Zealand Association of Psychiatry, Psychology and Law.",Admission; Apologies; Attribution of fault; Litigation; Personal injury; Propensity,apology; Article; blameworthiness; ethical decision making; evidence based practice; forensic science; human; information retrieval; injury; law suit; personal injury; psychological aspect; qualitative research; social behavior,Article,Final,,Scopus,2-s2.0-84940788635,No,Other,"

Let me know if you have any other reference papers you'd like me to evaluate!"
